Entry	Gene ontology IDs
Q9DEY9	GO:0000729; GO:0003677; GO:0004003; GO:0005524; GO:0005634; GO:0006260; GO:0006310; GO:0043140
Q9XI99	GO:0000326; GO:0005770; GO:0005795; GO:0048316
Q9LSL1	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0007275; GO:0010371; GO:0045487; GO:0046983
Q06450	GO:0000275; GO:0015986; GO:0046933
Q9FFE0	GO:0008428; GO:0008948; GO:0046872; GO:0047443; GO:0051252
Q0JHU5	GO:0005544; GO:0005737; GO:0005886; GO:0006952
P10505	GO:0000070; GO:0003677; GO:0005634; GO:0005680; GO:0032153; GO:0043234; GO:0051301; GO:0071851
Q9M4Y3	GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:0009507
Q93XM7	GO:0000064; GO:0000066; GO:0005739; GO:0005743; GO:0006839; GO:0009507; GO:0009536; GO:0016021
Q96316	GO:0009055; GO:0031225; GO:0046658; GO:0046872; GO:0055114
O34973	GO:0004252
P35684	GO:0003735; GO:0005840; GO:0006412
Q8VY57	GO:0005525; GO:0005634; GO:0005737; GO:0005765; GO:0005773; GO:0005774; GO:0005794; GO:0005819; GO:0005829; GO:0005886; GO:0007059; GO:0007067; GO:0007264; GO:0009506; GO:0031902; GO:0051301; GO:0051607
Q9N0W2	GO:0006487; GO:0008424; GO:0016021; GO:0017124; GO:0018279; GO:0032580; GO:0033578; GO:0036071; GO:0046368; GO:0046921
P16600	GO:0004797; GO:0005524; GO:0046872; GO:0071897
P52410	GO:0004315; GO:0006633; GO:0009570
O65693	GO:0006364; GO:0009507; GO:0042254
Q9SFH9	GO:0004655; GO:0005829; GO:0006779; GO:0006782; GO:0006783; GO:0008270; GO:0009507; GO:0009570; GO:0015995
P47635	GO:0005886
O04500	GO:0005886; GO:0010215; GO:0016049; GO:0031225
P28188	GO:0000139; GO:0003924; GO:0005525; GO:0005773; GO:0005789; GO:0005886; GO:0006888; GO:0015031; GO:0032588; GO:0046686
Q9ATF5	GO:0003735; GO:0005840; GO:0006412
P49608	GO:0003994; GO:0005737; GO:0006097; GO:0046872; GO:0051539
Q8VYZ0	GO:0003682; GO:0004842; GO:0005634; GO:0005720; GO:0008270; GO:0008327; GO:0010216; GO:0010369; GO:0010385; GO:0010424; GO:0010428; GO:0010429; GO:0016567; GO:0016569; GO:0031508; GO:0032776; GO:0042393; GO:0051301; GO:0061630; GO:0090309
Q43609	GO:0009809; GO:0046983; GO:0047763
Q9M0I2	GO:0005576; GO:0005618; GO:0006949; GO:0009506; GO:0016020; GO:0019953; GO:0071555
Q9LU14	GO:0016042; GO:0016788; GO:0048046
Q9C6Z3	GO:0004739; GO:0006086; GO:0006096; GO:0006633; GO:0009507; GO:0009570; GO:0009941; GO:0010240
Q9S726	GO:0004751; GO:0009052; GO:0009507; GO:0009535; GO:0009570; GO:0009579; GO:0009735; GO:0009941; GO:0019253; GO:0042742
O50003	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q9P7V5	GO:0000137; GO:0005086; GO:0005635; GO:0005737; GO:0005798; GO:0005802; GO:0005938; GO:0006886; GO:0006888; GO:0016192; GO:0032012
Q9FUL4	GO:0005840
P51615	GO:0004471; GO:0004473; GO:0005737; GO:0006108; GO:0008948; GO:0046872; GO:0051287
Q8VYN9	GO:0002238; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0006950; GO:0009507
P52425	GO:0004367; GO:0005975; GO:0009331; GO:0042803; GO:0046168; GO:0051287
Q9FX21	GO:0004579; GO:0005783; GO:0005886; GO:0008250; GO:0016020; GO:0016021; GO:0018279; GO:0043687
P52903	GO:0004739; GO:0005759; GO:0006086; GO:0006096
B4FUS3	GO:0016021
Q05466	GO:0003700; GO:0005634; GO:0006351; GO:0008283; GO:0009585; GO:0009641; GO:0009733; GO:0009735; GO:0009826; GO:0010016; GO:0010017; GO:0010218; GO:0042803; GO:0043565; GO:0045892; GO:0048364
O24407	GO:0003700; GO:0005634; GO:0006351; GO:0009733; GO:0009734
Q9LDU6	GO:0005789; GO:0005794; GO:0005886; GO:0006695; GO:0009918; GO:0016021; GO:0016132; GO:0047598
P29978	GO:0009399
Q5ZK92	GO:0000281; GO:0001578; GO:0005524; GO:0005634; GO:0005654; GO:0005768; GO:0005783; GO:0005815; GO:0005829; GO:0005874; GO:0006888; GO:0007399; GO:0008017; GO:0008089; GO:0008568; GO:0010458; GO:0019896; GO:0030154; GO:0030496; GO:0031122; GO:0031468; GO:0031965; GO:0032467; GO:0032506; GO:0034214; GO:0043014; GO:0048471; GO:0048487; GO:0051013; GO:0051228; GO:0051260; GO:0070062; GO:0090148; GO:1904115
P81898	GO:0000224
P43298	GO:0004675; GO:0005524; GO:0005576; GO:0005886; GO:0007165; GO:0016021
Q3MH14	GO:0005737; GO:0006633; GO:0009245; GO:0047451
Q9SF32	GO:0005516; GO:0005634; GO:0005737; GO:0005874; GO:0008017
Q0WNJ6	GO:0005198; GO:0005773; GO:0005774; GO:0005794; GO:0005886; GO:0006886; GO:0006897; GO:0009506; GO:0030130; GO:0030132
P69370	GO:0005524; GO:0009535; GO:0015986; GO:0045261; GO:0046933
P0C8Q4	
F1QBY1	GO:0003146; GO:0003682; GO:0005634; GO:0006412; GO:0007064; GO:0007417; GO:0007507; GO:0009303; GO:0035118; GO:0048565; GO:0048589; GO:0048703; GO:0060828; GO:0070050; GO:0071733
Q8RXA8	GO:0004550; GO:0005524; GO:0006183; GO:0006228; GO:0006241; GO:0009543; GO:0046872
Q9FZ45	GO:0005886; GO:0016021
P42795	GO:0000027; GO:0003735; GO:0005730; GO:0005773; GO:0005829; GO:0006412; GO:0009506; GO:0009507; GO:0019843; GO:0022625; GO:0042256
P38661	GO:0003756; GO:0005788; GO:0045454
