Entry	Gene ontology IDs
P93823	GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9FJA6	GO:0003684; GO:0003723; GO:0003735; GO:0003906; GO:0005634; GO:0005730; GO:0005829; GO:0006281; GO:0006412; GO:0008534; GO:0009506; GO:0009651; GO:0016020; GO:0022626; GO:0022627; GO:0032357; GO:0045739
Q8W488	GO:0006855; GO:0015297; GO:0016021; GO:0042910
Q8H1E6	GO:0006004; GO:0016021; GO:0016757
Q921Y4	GO:0005886; GO:0015098; GO:0016021
O65351	GO:0004252; GO:0005576; GO:0005618; GO:0009505; GO:0010214; GO:0048046; GO:0048359; GO:0080001
Q9FN15	GO:0009507; GO:0016021; GO:1990641
O82587	GO:0005886; GO:0005887; GO:0008515; GO:0008643; GO:0009793; GO:0010431; GO:0015770; GO:0016021; GO:0051119; GO:0051260
Q8RXE7	GO:0005096; GO:0046872
Q0JHZ2	GO:0002181; GO:0003677; GO:0005829; GO:0046872
Q6N3Y0	GO:0030791; GO:0046685
P49319	GO:0004096; GO:0006979; GO:0009514; GO:0020037; GO:0042744; GO:0046872
P12859	GO:0006006; GO:0009507; GO:0019253; GO:0047100; GO:0050661; GO:0051287
Q6YRM6	GO:0016021; GO:0016757
Q9LJU6	GO:0005634; GO:0005737; GO:0012505; GO:0016021
Q9D0U1	
Q7XZU1	GO:0005774; GO:0009506; GO:0042578
Q3EBC2	GO:0005783; GO:0005789; GO:0005794; GO:0006612; GO:0016021; GO:0018230; GO:0019706; GO:0030659
Q9M9W1	GO:0003723; GO:0003729; GO:0003735; GO:0005730; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0022625; GO:0022626; GO:0042788
Q9M1S3	GO:0003723; GO:0003729; GO:0005634; GO:0006397; GO:0009414; GO:0009651; GO:0009737; GO:0010029; GO:1990904
Q6P4R8	GO:0002020; GO:0003677; GO:0005634; GO:0005654; GO:0006281; GO:0006310; GO:0006366; GO:0006954; GO:0016579; GO:0031011
F4JFJ3	GO:0003677; GO:0004386; GO:0005524; GO:0009507
Q38961	GO:0000784; GO:0003684; GO:0006281; GO:0006303; GO:0031848; GO:0035312; GO:0036297
Q8RWF4	GO:0005769; GO:0005886; GO:0015095; GO:0015693; GO:0016021
B9DGD6	GO:0003987; GO:0005524; GO:0005829; GO:0006083; GO:0006631; GO:0009507; GO:0009514; GO:0009570; GO:0016208; GO:0019427
Q6Z382	GO:0000139; GO:0005198; GO:0005783; GO:0005793; GO:0005794; GO:0006886; GO:0006888; GO:0006891; GO:0009306; GO:0016020; GO:0030126
Q0WW26	GO:0000139; GO:0005198; GO:0005783; GO:0005793; GO:0005794; GO:0005829; GO:0005886; GO:0006886; GO:0006888; GO:0006891; GO:0009306; GO:0009506; GO:0009507; GO:0016020; GO:0030126
P93397	GO:0007165
Q39050	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006897; GO:0016310; GO:0018105; GO:0018107; GO:0046777
Q9LW63	GO:0008270; GO:0009451
Q2LZZ7	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005938; GO:0006468; GO:0007165; GO:0022416; GO:0030424; GO:0030425; GO:0035317; GO:0035556; GO:0044297; GO:0046872; GO:0048800; GO:0048813; GO:0048814; GO:0050773; GO:0070451; GO:0070593
Q940J9	GO:0000139; GO:0005768; GO:0005774; GO:0005794; GO:0005802; GO:0008168; GO:0016021
Q9LW68	GO:0003677; GO:0005634; GO:0007275; GO:0009299; GO:0009416; GO:0090698
Q5PNU3	GO:0004843; GO:0005737; GO:0005768; GO:0005770; GO:0005774; GO:0006897; GO:0007033; GO:0008237; GO:0015031; GO:0016020; GO:0016021; GO:0016579; GO:0044090; GO:0046872; GO:0046907; GO:0070536; GO:0071108; GO:0090316
Q4FE47	GO:0004842; GO:0005634; GO:0005737; GO:0046872
Q2TPW5	GO:0019863; GO:0045735; GO:0048316
A0A1L6K371	GO:0019863; GO:0034214; GO:0045735; GO:0048316
Q9ZQA8	GO:0003723; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006417; GO:0008143; GO:0008266; GO:1990904
Q14691	GO:0000811; GO:0001833; GO:0005634; GO:0005654; GO:0005737; GO:0006271; GO:0043138; GO:1902983
Q9LZM4	GO:0004674; GO:0005524; GO:0005886; GO:0016021; GO:0030247
Q9LI74	GO:0009507; GO:0009707; GO:0009902
Q9FFN2	GO:0000139; GO:0006486; GO:0016021; GO:0016757; GO:0071555
Q9FX31	GO:0000976; GO:0003700; GO:0005634; GO:0008289; GO:0009828; GO:0010091
Q8RXK2	GO:0003723; GO:0004527; GO:0005634; GO:0016592
Q8H0Z6	GO:0004439; GO:0034485; GO:0046856
A6QP05	GO:0016491
Q9M9H6	GO:0004103; GO:0005524; GO:0009611
Q54LL8	GO:0005811; GO:0016787
Q58FZ0	GO:0030001; GO:0046872
O80813	GO:0009507; GO:0010196; GO:0016021
F4KEY9	GO:0005737; GO:0005829; GO:0009506; GO:0017196; GO:0031416
B9DFS6	GO:0005543; GO:0005794; GO:0005829; GO:0015031; GO:0016020; GO:0016192; GO:0030904; GO:0032502; GO:0032585; GO:0035091; GO:0045324; GO:0046982; GO:0051604; GO:0090351
O22932	GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0009268
Q1GJX8	GO:0000917; GO:0005525; GO:0046872
Q5W736	GO:0004674; GO:0005524; GO:0007165
Q69T58	GO:0005634; GO:0006355; GO:0008289; GO:0043565
P50218	GO:0000287; GO:0004450; GO:0005737; GO:0006097; GO:0006099; GO:0006102; GO:0051287
Q07346	GO:0004351; GO:0005516; GO:0006536; GO:0030170
P48758	GO:0004090; GO:0005634; GO:0005737; GO:0005886; GO:0005902; GO:0016655; GO:0017144; GO:0042373; GO:0043231; GO:0047021; GO:0050221; GO:0055114
Q9FI44	GO:0005739; GO:0006099; GO:0006121; GO:0018293; GO:0034553
Q67YC9	GO:0005773
P04170	GO:0005506; GO:0005737; GO:0055114
Q9LQ10	GO:0008483; GO:0030170; GO:0042218
C0LGE4	GO:0004674; GO:0005524; GO:0005886; GO:0016020; GO:0016021
O49660	GO:0005886; GO:0006855; GO:0015297; GO:0016021; GO:0042910; GO:0071244; GO:1902456
F4I171	GO:0003713; GO:0005634; GO:0009751; GO:0016592; GO:0031490; GO:0045723
F4I8W1	GO:0040008
Q09818	GO:0000289; GO:0003723; GO:0004842; GO:0005634; GO:0005829; GO:0010629; GO:0016567; GO:0030014; GO:0030015; GO:0046872; GO:0061630
Q9M2W2	GO:0004364; GO:0005777; GO:0009507; GO:0009570; GO:0009636; GO:0010731
O80362	GO:0005840; GO:0009507; GO:0019843; GO:0042254
Q9FQ24	GO:0000226; GO:0000913; GO:0005737; GO:0005886; GO:0030865; GO:0030981
A3KGB4	GO:0005096; GO:0005509; GO:0005623; GO:0006886; GO:0017137; GO:0090630
O80952	GO:0005739; GO:0006655; GO:0008444; GO:0008654; GO:0009507; GO:0009941; GO:0010027; GO:0016021; GO:0030145; GO:0031969; GO:0046474
Q41914	GO:0005576; GO:0006952; GO:0031640; GO:0050832
Q8H1F7	GO:0005524; GO:0005829; GO:0016114; GO:0016301; GO:0102043
Q940V3	GO:0008194; GO:0043231; GO:0080043; GO:0080044
Q8W4B1	GO:0006397; GO:0006970; GO:0008380; GO:0009867; GO:0010286; GO:0010445; GO:0010468; GO:0016607; GO:0031053; GO:0070878; GO:1900150
Q6YU51	GO:0008661; GO:0009228; GO:0009507; GO:0016114; GO:0046872; GO:0052865
P74261	GO:0003723; GO:0006396; GO:0008173
F1DLK1	GO:0005634; GO:0005737; GO:0006282; GO:0006974; GO:0007049; GO:0009555; GO:0009663; GO:0010044; GO:0010497; GO:0048481; GO:0071158
F4IJK6	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887
Q9FED2	GO:0009409; GO:0009414; GO:0009737; GO:0016021; GO:0042538
Q9LSL6	GO:0003700; GO:0005634; GO:0006355; GO:0010052; GO:0010118; GO:0043565; GO:0045893; GO:0046872; GO:1902066
Q84WW3	GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0005886; GO:0006020; GO:0032958; GO:0033857; GO:0052723; GO:0052724; GO:0102092; GO:1904966
Q9STS6	GO:0005634; GO:0009555; GO:0009556; GO:0009786
Q9LFQ0	GO:0000139; GO:0008375; GO:0015020; GO:0016021
Q9SCK0	GO:0000407; GO:0000422; GO:0000423; GO:0005776; GO:0005829; GO:0006914; GO:0015031; GO:0016236; GO:0019887; GO:0019898; GO:0019901; GO:0031410; GO:0032147; GO:0034497; GO:0034727; GO:1990316
Q9LI65	GO:0005886; GO:0016021; GO:0022857
Q7ZVZ7	GO:0008474; GO:0014069; GO:0030054; GO:0043197; GO:0045211; GO:0055038
Q9SPL4	GO:0005576; GO:0031640; GO:0042742; GO:0045735; GO:0050832
Q9SKB3	GO:0004649; GO:0005634; GO:0005737; GO:0005975; GO:0006282; GO:0006970; GO:0006974; GO:0006979; GO:0009225; GO:0009414; GO:0048511; GO:0050832; GO:0090332; GO:1990966
Q9XH32	GO:0000906; GO:0009231; GO:0009349; GO:0009507
O80575	GO:0000906; GO:0009231; GO:0009349; GO:0009507; GO:0009570
Q9LD18	GO:0005774; GO:0005886; GO:0006813; GO:0009932; GO:0015079; GO:0016020; GO:0016021
Q9SPM5	GO:0000139; GO:0005524; GO:0016021; GO:0102485; GO:0102486; GO:0102487; GO:0102488; GO:0102489; GO:0102490; GO:0102491
O49931	GO:0009706; GO:0010277; GO:0015031; GO:0016021; GO:0046872; GO:0051537
O81772	GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872
A7PZL3	GO:0004650; GO:0005975; GO:0016021
Q84WV9	GO:0005789; GO:0005886; GO:0016021; GO:0016603; GO:0017186
Q9C5S1	GO:0004725; GO:0005829; GO:0006952; GO:0009651; GO:0010224; GO:0010225; GO:0017017; GO:1902065
A7WM73	GO:0004563; GO:0005773; GO:0005829; GO:0005975; GO:0009505; GO:0015929; GO:0102148
O80632	GO:0000139; GO:0005384; GO:0005770; GO:0005794; GO:0008324; GO:0010042; GO:0010486; GO:0016020; GO:0016021; GO:0030026; GO:0031902; GO:0046688
O22775	GO:0000139; GO:0000271; GO:0005768; GO:0005794; GO:0005802; GO:0009969; GO:0010411; GO:0016021; GO:0033843; GO:0035252; GO:0042803
Q8GXC7	
Q6T7E8	GO:0000287; GO:0004019; GO:0005525; GO:0009507; GO:0044208
Q60560	GO:0000049; GO:0003677; GO:0003723; GO:0005524; GO:0005634; GO:0005737; GO:0008094; GO:0008134; GO:0008186; GO:0008270; GO:0030424; GO:0032575; GO:0043022; GO:0043141; GO:0043621; GO:0051260
Q9SYK1	
Q8GVE8	GO:0005829; GO:0006099; GO:0008964; GO:0015977; GO:0015979
Q8W486	GO:0000139; GO:0005737; GO:0005768; GO:0005794; GO:0005802; GO:0006004; GO:0016021; GO:0016757
Q9SXC4	GO:0000139; GO:0005794; GO:0009834; GO:0010417; GO:0010584; GO:0015018; GO:0016021; GO:0042285; GO:0045492; GO:0071555
Q9LYD8	GO:0003885; GO:0005773; GO:0016020; GO:0019853; GO:0050105; GO:0071949
Q9FGN7	GO:0000785; GO:0003690; GO:0005634; GO:0005737; GO:0009793; GO:0032116; GO:0034088; GO:0051301
O04491	GO:0005739
Q9FIX3	GO:0005739
Q6DW75	GO:0009707; GO:0009877; GO:0019375; GO:0043661; GO:0046481
Q9MAH1	GO:0005623; GO:0006970; GO:0009651; GO:0009737; GO:0009738; GO:0009789; GO:0045454
P13447	GO:0005615
P29196	GO:0005737; GO:0006099; GO:0008964; GO:0015977; GO:0015979
P80728	GO:0009055; GO:0046872
P49599	GO:0004722; GO:0004724; GO:0005634; GO:0005730; GO:0005737; GO:0007178; GO:0009507; GO:0009570; GO:0009579; GO:0009767; GO:0016021; GO:0016311; GO:0016791; GO:0046872; GO:0080005
Q9FJD4	GO:0005634; GO:0005737; GO:0006606; GO:0006607; GO:0006610; GO:0008139; GO:0008536; GO:0009507; GO:0031965; GO:0034399
Q9UDY4	GO:0000122; GO:0001671; GO:0005654; GO:0005829; GO:0005886; GO:0006986; GO:0009408; GO:0051082; GO:0051085; GO:0051087
Q0WVV0	GO:0009507; GO:0009658; GO:1900865
Q9SA65	GO:0000149; GO:0005545; GO:0005546; GO:0005794; GO:0005886; GO:0005905; GO:0006897; GO:0006900; GO:0009860; GO:0030136; GO:0032050; GO:0048268; GO:0072583; GO:0072659; GO:0090404; GO:0090406
Q9FIH9	GO:0005509; GO:0005634; GO:0005737; GO:0010193
Q9FM96	GO:0005783; GO:0006491; GO:0042742
Q9FMZ0	GO:0004860; GO:0005829; GO:0005886; GO:0006629; GO:0009742; GO:0010423; GO:0046982
P51517	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004170; GO:0004190; GO:0004523; GO:0006310; GO:0008270; GO:0015074; GO:0019013; GO:0039660; GO:0044826; GO:0046718; GO:0075713
Q17784	GO:0000390; GO:0003676; GO:0005681; GO:0071008
Q9SN22	GO:0003700; GO:0005634; GO:0006355; GO:0043565
O14053	GO:0005634; GO:0005730; GO:0005829; GO:0006364; GO:0032040; GO:0032153; GO:0034388; GO:0072686
Q6JN47	GO:0005886; GO:0016021; GO:0050832
Q96MW5	GO:0000139; GO:0005794; GO:0006888; GO:0006891; GO:0015031; GO:0016020; GO:0017119; GO:0032588
Q9FGZ9	GO:0000398; GO:0005634; GO:0005737; GO:0006464; GO:0031386
Q9FNA3	GO:0004561; GO:0005773; GO:0008152; GO:0009793; GO:0051781
Q9SCN0	GO:0000139; GO:0005618; GO:0005794; GO:0016021; GO:0016757; GO:0042802; GO:0052324; GO:2001009
O22943	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0016021; GO:0016757; GO:0042802; GO:0052324; GO:2001009
Q9FNA2	GO:0005737; GO:0006598; GO:0016491; GO:0046208; GO:0046592; GO:0050660; GO:0052894; GO:0052895; GO:0052901; GO:0052902; GO:0052903; GO:0052904
Q0D9R7	GO:0003677; GO:0005634; GO:0006355; GO:0009734
Q8LA53	GO:0003677; GO:0005634; GO:0008270; GO:0019899; GO:0080111
Q9LT81	GO:0003677; GO:0003700; GO:0003730; GO:0005829; GO:0006355; GO:0046872; GO:0061158
Q5N7W3	GO:0005739; GO:0005774; GO:0005794; GO:0005886; GO:0006487; GO:0008250; GO:0009409; GO:0009505; GO:0009506; GO:0016021
Q9C689	GO:0005634; GO:0006281; GO:0006310; GO:0030915; GO:2001022
P80030	GO:0004318; GO:0006633; GO:0009507; GO:0016631
Q7F8R0	GO:0003677; GO:0003723; GO:0046872
Q84WW5	GO:0005783; GO:0005789; GO:0016021
Q8RW93	GO:0005576
Q8H1Q5	GO:0005737; GO:0005774; GO:0006914; GO:0015031; GO:0034045; GO:0042594
Q9ZNV9	GO:0000160; GO:0005634; GO:0005737; GO:0005829; GO:0009553; GO:0009736; GO:0009825; GO:0009927; GO:0016310; GO:0043424
Q940G6	GO:0005634; GO:0005737; GO:0009739; GO:0009939; GO:0010325; GO:0010331; GO:0010476; GO:0010629; GO:0016787; GO:0048444; GO:0048530
