Entry	Gene ontology IDs
Q9ZVP5	GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005737; GO:0006970; GO:0009737; GO:0009738; GO:0009789; GO:0023014; GO:0031098; GO:0032147; GO:0046777; GO:1900057; GO:1902457; GO:2000038
C0LGH8	GO:0004674; GO:0005524; GO:0005886; GO:0016021
P54772	GO:0004398; GO:0019752; GO:0030170
Q40316	GO:0006952; GO:0009813; GO:0016491; GO:0050662
P14170	GO:0005773; GO:0006952; GO:0009607
Q9FWS9	GO:0003700; GO:0005634; GO:0043565; GO:0048510
Q7XA06	GO:0005783; GO:0006869; GO:0008289; GO:0016021; GO:0046872
Q39033	GO:0004435; GO:0004629; GO:0005886; GO:0009553; GO:0009556; GO:0010601; GO:0016042; GO:0032959; GO:0042742; GO:0048015; GO:0048437; GO:0051209
P27608	GO:0003849; GO:0009073; GO:0009423; GO:0009507
P37123	GO:0004497; GO:0005506; GO:0016705; GO:0020037
Q41951	GO:0000326; GO:0005618; GO:0005773; GO:0005774; GO:0005794; GO:0005886; GO:0006833; GO:0009505; GO:0009506; GO:0009507; GO:0009705; GO:0009941; GO:0015200; GO:0015250; GO:0016021; GO:0042802; GO:0042807
Q8LPH6	GO:0003700; GO:0005634; GO:0010119; GO:0030154; GO:0043565; GO:0044212
P21357	GO:0003849; GO:0009073; GO:0009423; GO:0009507; GO:0016020
P27493	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298; GO:0046872
O23507	GO:0004222; GO:0005886; GO:0008270; GO:0030198; GO:0030574; GO:0031012; GO:0031225
O81815	GO:0004497; GO:0005783; GO:0009620; GO:0071949
Q9LYM2	GO:0003333; GO:0015171; GO:0016021
Q9SEE4	GO:0005634
O65660	GO:0004096; GO:0005773; GO:0005774; GO:0005783; GO:0005886; GO:0009409; GO:0009414; GO:0009507; GO:0009535; GO:0009579; GO:0009651; GO:0010287; GO:0020037; GO:0040008
Q6DR10	GO:0005794; GO:0016021; GO:0016413
O80386	GO:0005634; GO:0005886; GO:0009416; GO:0009718; GO:0015995; GO:0045893
Q9FZ59	GO:0004674; GO:0005524; GO:0005886; GO:0009611; GO:0009753; GO:0016021; GO:0042277; GO:0042742
Q9SRN0	GO:0009506; GO:0016021; GO:0046658; GO:0051607
Q9LPL5	GO:0003826; GO:0003863; GO:0005947; GO:0009083; GO:0009646; GO:0009744; GO:0043617; GO:0046872
Q8W453	GO:0005504; GO:0005783; GO:0006869; GO:0008270; GO:0009506; GO:0009627; GO:0009862; GO:0043621; GO:0048046
Q9SD24	GO:0005829; GO:0009903; GO:0009904
O22932	GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0009268
Q84WI0	GO:0003676; GO:0003700; GO:0005634; GO:0006355; GO:0007275; GO:0009739; GO:0009740; GO:0010026; GO:0010091; GO:0046872
P22433	GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253
Q84WL6	GO:0008017; GO:0009826; GO:0043622; GO:0051511; GO:0055028
P83102	GO:0004674; GO:0004712; GO:0004713; GO:0005524
Q9C7G0	GO:0000226; GO:0000922; GO:0005634; GO:0005819; GO:0005874; GO:0007049; GO:0008017; GO:0009524; GO:0051301
P45726	GO:0005737; GO:0006559; GO:0009800; GO:0045548
O82598	GO:0005774; GO:0006833; GO:0015204; GO:0015250; GO:0015840; GO:0016021
Q8W3M4	GO:0005576
Q9FMK7	GO:0003712; GO:0004402; GO:0005516; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0009553; GO:0009555; GO:0009733; GO:0009751; GO:0016567; GO:0042542
Q8LCQ4	GO:0009416; GO:0009507; GO:0009522; GO:0009535; GO:0009637; GO:0009768; GO:0009941; GO:0010114; GO:0010218; GO:0010287; GO:0016021; GO:0016168; GO:0018298; GO:0046872
P27496	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298; GO:0046872
Q681X4	GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0046872
O04899	GO:0009809; GO:0042409; GO:0046872
Q9LZP8	GO:0003700; GO:0005634; GO:0006971; GO:0009267; GO:0043565; GO:0044212; GO:0045735; GO:0045893; GO:0046982; GO:2000693
Q9LZP9	GO:0005507; GO:0009416; GO:0009507; GO:0009570; GO:0009744; GO:0016151; GO:0018316; GO:0019253; GO:0019899; GO:0030674; GO:0032991; GO:0034605; GO:0044877; GO:0065003; GO:0070417; GO:0071454; GO:0080153; GO:0099080
E9L7A5	GO:0004069; GO:0009094; GO:0009095; GO:0009507; GO:0030170; GO:0033853; GO:0033854; GO:0042802
Q9SQT8	GO:0003855; GO:0004764; GO:0009073; GO:0009423; GO:0009507; GO:0009570; GO:0009793; GO:0019632; GO:0050661
H6WS93	GO:0005524; GO:0016021; GO:0016887
P27494	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298; GO:0046872
P36401	GO:0005975; GO:0006952; GO:0042973; GO:0048046
Q7XPK7	GO:0050734
Q8S9H7	GO:0003677; GO:0005634; GO:0009908; GO:0048262
Q8VWN6	GO:0005975; GO:0047274
Q8LEB6	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0016021
Q6NKZ9	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0016021
Q8RW93	GO:0005576
P85524	GO:0002253; GO:0006952
Q9ATM6	GO:0005773; GO:0005886; GO:0009414; GO:0009506; GO:0015250; GO:0016021
Q8LF99	GO:0004553; GO:0005618; GO:0009414; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555
Q8L707	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0009834; GO:0010051; GO:0010154; GO:0010246; GO:0010417; GO:0015018; GO:0016021; GO:0042285; GO:0045492; GO:0047517; GO:0048354; GO:0048358; GO:0048367
F4HSU3	GO:0006004; GO:0016021; GO:0016757
Q9ZNQ8	GO:0004672; GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0009738; GO:0009845; GO:0016021; GO:0019722; GO:0048364
Q56Z59	GO:0005737; GO:0005886; GO:0007049; GO:0008289; GO:0051301
P13240	GO:0006952; GO:0009607; GO:0048046
P42763	GO:0001786; GO:0005509; GO:0005829; GO:0005886; GO:0009269; GO:0009409; GO:0009414; GO:0009507; GO:0009631; GO:0009737; GO:0016020; GO:0019898; GO:0031210; GO:0050821; GO:0090559
Q9ZWA8	GO:0005886; GO:0009834; GO:0031225; GO:0046658
Q93Z25	GO:0030570; GO:0045490; GO:0046872
Q9FFD5	GO:0005886; GO:0007275; GO:0009860; GO:0010215; GO:0016324; GO:0017157; GO:0030833; GO:0040008; GO:0051650
Q29PU2	GO:0005634; GO:0005737; GO:0007275; GO:0009733; GO:0009873; GO:0019897; GO:0030307
Q9FG14	GO:0016021; GO:0017022; GO:0030133
O24146	GO:0005524; GO:0009698; GO:0016207
Q8L7G0	GO:0003677; GO:0003700; GO:0005634; GO:0009733; GO:0009734; GO:0010150; GO:0042802; GO:0045892
O80437	GO:0008654; GO:0009908; GO:0010143; GO:0016020; GO:0016021; GO:0016791; GO:0090447; GO:0102419
Q9C9F4	GO:0003700; GO:0005634; GO:0006355; GO:0008270
Q5N9X2	GO:0005507; GO:0046274; GO:0048046; GO:0052716
Q8VYL1	GO:0004017; GO:0005524; GO:0009507; GO:0009534; GO:0009535; GO:0009941
Q6NMK1	GO:0000139; GO:0005794; GO:0009834; GO:0016021; GO:0030775; GO:0045491; GO:0045492
Q9FKG6	GO:0004674; GO:0004842; GO:0005524
Q9FWX7	GO:0005524; GO:0005886; GO:0009506; GO:0010329; GO:0010540; GO:0016021; GO:0016887; GO:0042626
P25872	GO:0005737; GO:0006559; GO:0009800; GO:0045548
Q42699	GO:0003871; GO:0005737; GO:0008270; GO:0009086
B8BLZ4	GO:0000160; GO:0005634; GO:0009736
Q9LSB1	GO:0000139; GO:0005794; GO:0009834; GO:0010417; GO:0015020; GO:0016021; GO:0045492; GO:0046872; GO:0071555; GO:0080116
Q9ATM4	GO:0005773; GO:0005886; GO:0009414; GO:0009506; GO:0015250; GO:0016021
Q9T072	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0046983
B6VJS4	GO:0005829; GO:0008171; GO:0008757; GO:0019438; GO:0046983; GO:0102303
P48981	GO:0004565; GO:0005975; GO:0048046
Q8W1D5	GO:0004674; GO:0005524; GO:0007165; GO:0050832
O49432	GO:0004650; GO:0005576; GO:0005618; GO:0008152; GO:0009556; GO:0010584; GO:0071555
Q9SGU2	GO:0005737; GO:0007275; GO:0009734; GO:0040008
P05414	GO:0005777; GO:0009854; GO:0010181; GO:0052852; GO:0052853; GO:0052854
Q9SSC7	
Q9FVQ0	GO:0004499; GO:0009851; GO:0050660; GO:0050661; GO:0103075
Q39264	GO:0003700; GO:0005634; GO:0006355; GO:0009736; GO:0009740; GO:0009873; GO:0010026; GO:0043565; GO:0044212; GO:0046872; GO:0048510; GO:0048766; GO:0048767
Q9SSK9	GO:0006952
Q9T096	GO:0046872
O22227	GO:0005737; GO:0005783; GO:0005789; GO:0009658; GO:0010274; GO:0016020; GO:0032541
A7Q6G6	GO:0005886; GO:0016021; GO:0051539
Q7T012	GO:0016787
Q94A08	GO:0006979; GO:0009506; GO:0010325; GO:0016757; GO:0034484; GO:0052692; GO:0080167
Q9C503	GO:0003824; GO:0005975; GO:0009507; GO:0009535; GO:0009773; GO:0010628; GO:0016020; GO:0030246
Q0WUU6	GO:0005351; GO:0005887
Q76CU2	GO:0005524; GO:0016021; GO:0016887
Q7XJR2	GO:0005315; GO:0009536; GO:0016021; GO:0031969
Q7Y201	GO:0016021; GO:0030599; GO:0042545; GO:0045330; GO:0045490; GO:0046910
A5JTQ3	GO:0005576; GO:0009044; GO:0045493; GO:0046556
Q9SIV3	GO:0003700; GO:0005634; GO:0044212; GO:0045893; GO:1900056
Q8RWD0	GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0016020
Q9SA77	GO:0003978; GO:0005794; GO:0006012; GO:0009832; GO:0016021; GO:0019567; GO:0032580; GO:0033358; GO:0045227; GO:0050373
Q9LJU6	GO:0005634; GO:0005737; GO:0012505; GO:0016021
P80691	GO:0004867; GO:0005615
Q94KL8	GO:0000166; GO:0009807; GO:0051289; GO:0102911
O81016	GO:0005524; GO:0005886; GO:0006855; GO:0016021; GO:0016887; GO:0042335; GO:0042626; GO:0055085
O64511	GO:0005634; GO:0009881; GO:0018298; GO:0050896
O80915	GO:0005768; GO:0005783; GO:0005794; GO:0005802; GO:0005829; GO:0010008; GO:0016021; GO:0016192
Q8H0Z4	GO:0006541; GO:0016740; GO:0016787; GO:2000032
Q9LZU5	GO:0003777; GO:0005524; GO:0005737; GO:0005819; GO:0005871; GO:0005874; GO:0005886; GO:0007018; GO:0008017; GO:0008574; GO:0016887
Q39176	GO:0005576; GO:0005783; GO:0009409; GO:0009505; GO:0009506; GO:0009651; GO:0009682; GO:0009707; GO:0009737; GO:0050832
Q8LFY8	GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9FLD7	GO:0000139; GO:0005794; GO:0008375; GO:0009826; GO:0015020; GO:0016021
P04783	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298; GO:0046872
P93051	GO:0005351; GO:0005773; GO:0005774; GO:0005887; GO:0006829; GO:0009507; GO:0009705
Q8GUK1	GO:0005739; GO:0005741; GO:0016021; GO:0019375; GO:0050665
Q43062	GO:0004857; GO:0005576; GO:0005618; GO:0030599; GO:0042545; GO:0045330; GO:0045490
Q9LPF6	GO:0005345; GO:0006863; GO:0016020; GO:0016021
P29060	GO:0000272; GO:0004568; GO:0005576; GO:0005618; GO:0006032
Q9C6U1	GO:0003700; GO:0005634; GO:0030154; GO:0043565; GO:0044212; GO:0045893; GO:2000652
