Solyc02g079510.3	GO:0016311; GO:0016791
Solyc02g065805.1	GO:0005215; GO:0016021; GO:0055085
Solyc03g078630.3	GO:0005509
Solyc10g018780.2	GO:0004896; GO:0016020
Solyc02g089350.3	GO:0008168
Solyc05g053810.3	GO:0000287; GO:0004012; GO:0005524; GO:0015914; GO:0016021
Solyc03g121180.3	GO:0005515
Solyc08g016620.3	GO:0033926
Solyc01g105720.2	GO:0015986
Solyc08g028690.3	GO:0016491; GO:0055114
Solyc06g051020.2	GO:0005515
Solyc12g010590.2	GO:0003860
Solyc03g112120.2	GO:0003677
Solyc01g102310.3	GO:0005215; GO:0016021; GO:0055085
Solyc12g005730.2	GO:0046982
Solyc05g055840.3	GO:0006952
Solyc05g052650.2	GO:0005515
Solyc11g013150.1	GO:0005215; GO:0006810; GO:0016020
Solyc01g005420.2	GO:0004801; GO:0005737; GO:0006098
Solyc03g044300.3	GO:0005515
Solyc07g008020.3	GO:0016651; GO:0055114
Solyc11g008820.2	GO:0003677
Solyc05g054670.3	GO:0004190; GO:0006508
Solyc01g109500.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc08g083190.3	GO:0010215; GO:0016049; GO:0031225
Solyc04g071165.1	GO:0004672; GO:0006468
Solyc05g053620.3	GO:0000166; GO:0046872
Solyc03g025720.3	GO:0004601; GO:0055114
Solyc01g104730.2	GO:0005509
Solyc10g085500.2	GO:0005452; GO:0006820; GO:0016020
Solyc01g008330.3	GO:0005509
Solyc11g013110.2	GO:0052855
Solyc02g065780.1	GO:0005509; GO:0016020
Solyc08g080190.3	GO:0003677; GO:0046983
Solyc11g007000.2	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0042555
Solyc08g077180.3	GO:0005975
Solyc01g005730.3	GO:0005215; GO:0006810; GO:0016020
Solyc02g065680.3	GO:0005524
Solyc08g082620.3	GO:0005634; GO:0005737; GO:0006606; GO:0008565
Solyc02g084440.3	GO:0005524; GO:0016887
Solyc04g008590.3	GO:0006952
Solyc12g088430.1	GO:0008270
Solyc04g077160.1	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc06g061200.1	GO:0003700; GO:0006355
Solyc07g042490.1	GO:0004842; GO:0016567
Solyc01g104750.3	GO:0003677
Solyc04g064620.3	GO:0005507; GO:0005576
Solyc03g117490.3	GO:0005525; GO:0005622; GO:0007264
Solyc01g095930.3	GO:0008375; GO:0016020
Solyc01g095550.2	GO:0016491; GO:0055114
Solyc08g076650.3	GO:0004553; GO:0005975
Solyc02g081400.3	GO:0008152; GO:0016758
Solyc04g074110.3	GO:0000445; GO:0006397
Solyc02g093290.3	GO:0016747
Solyc03g120310.3	GO:0008270
Solyc06g053140.3	GO:0004525; GO:0006396
Solyc04g081290.3	GO:0004842; GO:0016567
Solyc01g100600.3	GO:0008168
Solyc05g012500.3	GO:0007275
Solyc04g005800.3	GO:0000166; GO:0004826; GO:0005524; GO:0005737; GO:0006432
Solyc08g007970.3	GO:0003676
Solyc01g080870.3	GO:0016651; GO:0048038; GO:0051287; GO:0055114
Solyc04g082200.2	GO:0004601; GO:0055114
Solyc03g065340.3	GO:0016491
Solyc01g100770.2	GO:0008658
Solyc10g083230.1	GO:0003677
Solyc11g010440.2	GO:0003883; GO:0006221
Solyc12g011410.1	GO:0005525
Solyc07g009380.3	GO:0003677; GO:0006355
Solyc08g066100.3	GO:0005515
Solyc08g068330.3	GO:0003824; GO:0008152
Solyc01g099020.3	GO:0005618; GO:0030599; GO:0042545
Solyc12g010390.2	GO:0004842; GO:0016567
Solyc04g073990.3	GO:0003700; GO:0006355; GO:0043565
Solyc07g065920.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc04g077780.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc01g099590.3	GO:0017108; GO:0033567; GO:0043142
Solyc06g006080.3	GO:0004525; GO:0006396
Solyc10g079790.1	GO:0046912
Solyc03g020060.3	GO:0004601; GO:0055114
Solyc04g007780.3	GO:0003676
Solyc01g110605.1	GO:0008239; GO:0070009
Solyc12g009840.2	GO:0004672; GO:0006468
Solyc02g083930.1	GO:0003723
Solyc04g082830.3	GO:0004222
Solyc11g020100.2	GO:0006470; GO:0008138
Solyc08g075760.3	GO:0003824; GO:0008152
Solyc09g082690.3	GO:0008152; GO:0016597
Solyc01g088250.3	GO:0003989; GO:0006633; GO:0009317
Solyc06g082560.2	GO:0003899; GO:0006351
Solyc02g081390.3	GO:0008146
Solyc03g007850.1	GO:0005515
Solyc07g042540.3	GO:0005515; GO:0008270
Solyc03g123720.3	GO:0019211
Solyc06g074710.1	GO:0009522; GO:0009579; GO:0015979; GO:0016021
Solyc07g007800.3	GO:0006508; GO:0008234
Solyc04g054810.3	GO:0007165
Solyc02g085745.1	GO:0003824
Solyc09g065180.3	GO:0004722; GO:0006470
Solyc02g091140.3	GO:0016616; GO:0055114
Solyc06g036130.3	GO:0008152; GO:0016491; GO:0055114
Solyc08g005960.2	GO:0006511
Solyc07g053540.1	GO:0003777; GO:0005524; GO:0007018; GO:0008017
Solyc08g066750.3	GO:0005515
Solyc11g006300.2	GO:0004672; GO:0006468
Solyc01g102610.3	GO:0008721; GO:0030170; GO:0046416
Solyc04g007540.2	GO:0005524; GO:0046872
Solyc10g054820.2	GO:0005515
Solyc05g006650.3	GO:0005515
Solyc11g065000.2	GO:0009263
Solyc03g078720.3	GO:0004857
Solyc05g009270.3	GO:0005509
Solyc09g090190.3	GO:0005618; GO:0030599; GO:0042545
Solyc12g096920.1	GO:0006457; GO:0051082
Solyc11g006930.2	GO:0006508; GO:0008236
Solyc02g092670.1	GO:0005515
Solyc04g015850.2	GO:0003951; GO:0008152
Solyc07g018190.3	GO:0005524; GO:0005737; GO:0006457
