Entry	Gene ontology IDs
Q9LT89	GO:0003700; GO:0005634; GO:0006355; GO:0031347; GO:0043565
Q93V99	GO:0003677; GO:0003700; GO:0005634; GO:0008289; GO:0009845; GO:0009913; GO:0043565; GO:0048497; GO:0048825
Q9LYU7	GO:0002229; GO:0004675; GO:0005102; GO:0005524; GO:0005886; GO:0006952; GO:0009909; GO:0010075; GO:0016021; GO:0033612; GO:0042742
F4HQA1	GO:0000993; GO:0003682; GO:0005634; GO:0006368; GO:0009908; GO:0009910; GO:0016571; GO:0016593; GO:0035327
P29790	GO:0009535; GO:0015986; GO:0045261; GO:0046933
W8JWV8	GO:0005634; GO:0005829; GO:0008270; GO:0009753; GO:0035834; GO:0102311
Q9LJB7	GO:0003700; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0009640; GO:0009785; GO:0009909; GO:0010017; GO:0010200; GO:0045892
A2Z259	GO:0003677; GO:0005634; GO:0046872
Q9SV07	GO:0008374; GO:0016021; GO:0016127; GO:0034434
Q9SYL6	GO:0005615; GO:0005618; GO:0005773; GO:0008242; GO:0034722; GO:0046900
Q9FJD5	GO:0005507; GO:0009698; GO:0009809; GO:0016491; GO:0046274; GO:0048046; GO:0052716
F4KGY6	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0007623; GO:0009734; GO:0010600
Q8VZ20	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0006952; GO:0042803; GO:0045892; GO:0050777; GO:0071219
Q9ZQ89	GO:0005274; GO:0005524; GO:0005886; GO:0015210; GO:0015505; GO:0015720; GO:0015857; GO:0016020; GO:0016021; GO:0043100
Q9FNX5	GO:0000266; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005773; GO:0005774; GO:0005874; GO:0005886; GO:0007049; GO:0008017; GO:0009506; GO:0009524; GO:0016020; GO:0016192; GO:0046686; GO:0050832; GO:0051301
Q9C8S9	GO:0003723; GO:0004386; GO:0005524
Q3E9F0	
Q8S8F9	GO:0008936; GO:0009737; GO:0019365
Q9FVS9	GO:0005506; GO:0005783; GO:0005789; GO:0010025; GO:0016021; GO:0020037; GO:0080133
Q93ZR6	GO:0004144; GO:0005783; GO:0005789; GO:0005886; GO:0010025; GO:0016021; GO:0019432; GO:0047196; GO:0102966; GO:0103095
P40619	GO:0003677; GO:0005634
Q03411	GO:0005887; GO:0005985; GO:0008515; GO:0015293
A0A0A6ZFY4	GO:0002238; GO:0008194; GO:0016114; GO:0016135; GO:0016758; GO:0046246
P27788	GO:0009055; GO:0009507; GO:0009570; GO:0009578; GO:0022900; GO:0046872; GO:0051537
Q5K2N1	GO:0003865; GO:0006694; GO:0016021; GO:0016132; GO:0016491; GO:0047751; GO:0050213; GO:0055114
Q9LRJ4	GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0046983
Q9S7Y1	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0046983
P19244	GO:0005788
Q3E9D5	GO:0004014; GO:0005829; GO:0006557; GO:0006597; GO:0008295; GO:0099402
Q8LG88	GO:0005773; GO:0005774; GO:0015140; GO:0015743; GO:0016021; GO:0051453
Q9ZSK5	GO:0006486; GO:0009690; GO:0009965; GO:0010015; GO:0010083; GO:0010380; GO:0045926; GO:0048316; GO:0048439; GO:0050403; GO:0050404
O82268	GO:0003677; GO:0005634; GO:0009299; GO:0009416; GO:0010199; GO:0010492; GO:0048441; GO:0048834; GO:0090698
Q9FH21	GO:0006855; GO:0015297; GO:0016021; GO:0042910
Q69V36	GO:0003677; GO:0005634
Q9ATE5	GO:0000977; GO:0003700; GO:0005634; GO:0045944; GO:0046983
Q8LJW3	GO:0009506
O22977	GO:0005576; GO:0005618; GO:0005886; GO:0016787; GO:0071555
Q5XVC7	GO:0005829; GO:0009903; GO:0009904
Q9XI21	GO:0005739
Q8RWU3	GO:0003700; GO:0005634; GO:0006355; GO:0009651; GO:0009723; GO:0009733; GO:0009737; GO:0009739; GO:0009751; GO:0009753; GO:0010628; GO:0032922; GO:0042752; GO:0042753; GO:0043565; GO:0043966; GO:0045944; GO:0046686; GO:0048573
