Entry	Gene ontology IDs
Q9FLI4	GO:0004252; GO:0005576
Q307Y9	GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872
Q93W93	GO:2000762
A0A172J2G3	GO:0016758
P21357	GO:0003849; GO:0009073; GO:0009423; GO:0009507; GO:0016020
Q8L636	GO:0000325; GO:0005432; GO:0005509; GO:0005773; GO:0005774; GO:0005886; GO:0006874; GO:0009506; GO:0015369; GO:0016020; GO:0016021; GO:0055074; GO:0070588; GO:0071472
Q8L7A0	GO:0016021; GO:0016567; GO:0031464
Q9LSK9	GO:0005886; GO:0016021
Q9LF64	GO:0016021; GO:0016567; GO:0016740; GO:0046872
Q9SIY8	GO:0005507; GO:0046274; GO:0046688; GO:0048046; GO:0052716
O64495	GO:0004252; GO:0009897; GO:0010103; GO:0042127; GO:0048046
Q9FG14	GO:0016021; GO:0017022; GO:0030133
Q9FKH6	GO:0005886; GO:0016021; GO:0046872; GO:0055114
Q93ZA3	GO:0005576; GO:0005618; GO:0045551; GO:0050268; GO:0052747; GO:0071949
Q9SSE8	GO:0000139; GO:0006486; GO:0016021; GO:0016757; GO:0071555
Q66PF3	GO:0016758
Q40316	GO:0006952; GO:0009813; GO:0016491; GO:0050662
O64511	GO:0005634; GO:0009881; GO:0018298; GO:0050896
P14009	GO:0016021
Q3E6Y3	
O24463	GO:0003677; GO:0005634; GO:0006355; GO:0046872
Q56WF8	GO:0004185; GO:0005576; GO:0005773; GO:0051603
E9L7A5	GO:0004069; GO:0009094; GO:0009095; GO:0009507; GO:0030170; GO:0033853; GO:0033854; GO:0042802
A7LXU3	GO:0008422; GO:0042597; GO:0085030; GO:0102483; GO:2000899
P14673	GO:0004022; GO:0005737; GO:0008270
Q6JN47	GO:0005886; GO:0016021; GO:0050832
Q9SFF9	GO:0005618; GO:0030145; GO:0045735; GO:0048046
Q94DB8	GO:0005315; GO:0006817; GO:0015293; GO:0016021
Q9FFY3	GO:0008289; GO:0031225
P80969	GO:0005737; GO:0050366
A0A2J6KL39	GO:0006869; GO:0008289
Q9SI09	GO:0006970; GO:0009651; GO:0009687; GO:0009688; GO:0009739; GO:0010200; GO:0016021; GO:0016567; GO:0016740; GO:0046872
P17642	GO:0004864; GO:0006952; GO:0009607; GO:0009738; GO:0010427; GO:0038023
B6VJS4	GO:0005829; GO:0008171; GO:0008757; GO:0019438; GO:0046983; GO:0102303
Q9FN29	GO:0003700; GO:0005634; GO:0009637; GO:0009646; GO:0043565; GO:0045893
Q9STW5	GO:0005886; GO:0006955; GO:0009626
Q9LPL5	GO:0003826; GO:0003863; GO:0005947; GO:0009083; GO:0009646; GO:0009744; GO:0043617; GO:0046872
B8AVF0	GO:0005576; GO:0005975; GO:0008422; GO:0102483
Q6N075	GO:0005886; GO:0015098; GO:0016020; GO:0016021
Q9M9W3	GO:0004722; GO:0005634; GO:0005737; GO:0005829; GO:0009860; GO:0046872; GO:0048768
Q9LQ28	GO:0003677; GO:0003700; GO:0005634; GO:0009873
Q9FF99	GO:0003333; GO:0005886; GO:0006865; GO:0015171; GO:0015293; GO:0016020; GO:0016021
Q8L7F9	GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0010488; GO:0010493; GO:0016021; GO:0030246
Q9FVQ0	GO:0004499; GO:0009851; GO:0050660; GO:0050661; GO:0103075
Q8S9H7	GO:0003677; GO:0005634; GO:0009908; GO:0048262
Q945T0	GO:0005179; GO:0005576; GO:0010469; GO:0048018
O23310	GO:0003700; GO:0005634; GO:0043565; GO:0045893; GO:0046982
Q54I39	GO:0008104; GO:0015031
Q0WPH8	GO:0004672; GO:0004674; GO:0005524; GO:0007017; GO:0009913; GO:0043622; GO:0055028
P37122	GO:0004497; GO:0005506; GO:0016705; GO:0020037
P30173	GO:0005524; GO:0005737; GO:0005856
P27493	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298; GO:0046872
Q94G86	GO:0005576; GO:0006076; GO:0042803; GO:0042973
Q9LSB1	GO:0000139; GO:0005794; GO:0009834; GO:0010417; GO:0015020; GO:0016021; GO:0045492; GO:0046872; GO:0071555; GO:0080116
Q9FFY9	GO:0000723; GO:0000781; GO:0003677; GO:0003691; GO:0005634; GO:0042162
O65709	GO:0016021; GO:0046577; GO:0050660
O65657	GO:0030001; GO:0046872
Q05349	GO:0009734
Q84JA6	GO:0005794; GO:0005802; GO:0005886; GO:0009833; GO:0009834; GO:0016021; GO:0016759; GO:0016760; GO:0030244; GO:0042742; GO:0046872; GO:0050832; GO:0071555
Q76CU2	GO:0005524; GO:0016021; GO:0016887
Q9ZNQ8	GO:0004672; GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0009738; GO:0009845; GO:0016021; GO:0019722; GO:0048364
Q8W3M4	GO:0005576
Q9FK05	GO:0016021; GO:0030599; GO:0042545; GO:0045330; GO:0045490; GO:0046910
O82598	GO:0005774; GO:0006833; GO:0015204; GO:0015250; GO:0015840; GO:0016021
Q9FYH7	GO:0000139; GO:0005509; GO:0005768; GO:0005802; GO:0006511; GO:0006623; GO:0006896; GO:0016020; GO:0016021; GO:0017119; GO:0030665; GO:0031902; GO:0061630
Q9LM55	
Q9SVU4	GO:0005774; GO:0016021
F4IH21	GO:0005794; GO:0009834; GO:0016021; GO:0016413; GO:1990538; GO:1990937
Q9FZ59	GO:0004674; GO:0005524; GO:0005886; GO:0009611; GO:0009753; GO:0016021; GO:0042277; GO:0042742
Q9FHP1	GO:0005634; GO:0016597
P46897	GO:0003700; GO:0005634; GO:0009414; GO:0009737; GO:0043565; GO:0045893
Q9FMR1	GO:0005096; GO:0007165
Q6NQE2	GO:0003955; GO:0005886; GO:0009506; GO:0010181; GO:0055114
P0C5E2	GO:0004674; GO:0005524; GO:0005886; GO:0016021; GO:0030247; GO:0042631; GO:0048573; GO:0071215
Q9SKY9	GO:0005634; GO:0045892
O80482	GO:0003677; GO:0003700; GO:0005634; GO:0046983
F4IL57	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887
P83102	GO:0004674; GO:0004712; GO:0004713; GO:0005524
Q9SU13	GO:0005774; GO:0005886; GO:0016020; GO:0031225; GO:0046658
Q0WQX7	GO:0000139; GO:0004252; GO:0005794; GO:0016021
Q9C6U1	GO:0003700; GO:0005634; GO:0030154; GO:0043565; GO:0044212; GO:0045893; GO:2000652
P42738	GO:0004106; GO:0005829; GO:0009073; GO:0009507; GO:0016688; GO:0046417
Q9LPS9	GO:0005634
P24396	GO:0005576; GO:0030570; GO:0045490; GO:0046872
E3SXU4	GO:0005634; GO:0009813; GO:0046983
Q6EU49	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556
O80920	GO:0004864; GO:0005634; GO:0005737; GO:0005886; GO:0009738; GO:0010427; GO:0038023; GO:0042803; GO:0080163
Q9SA00	GO:0005623; GO:0016021; GO:0045454
O64747	GO:0003700; GO:0005634; GO:0009555; GO:0009793; GO:0043565; GO:0044212
Q8LEJ6	GO:0005886; GO:0009834; GO:0031225
P98188	GO:0004497; GO:0005506; GO:0005789; GO:0016021; GO:0016705; GO:0020037
Q9SD24	GO:0005829; GO:0009903; GO:0009904
Q5QMM3	GO:0003677; GO:0005634; GO:0007275
A9ZPJ7	GO:0047634
Q9ATM6	GO:0005773; GO:0005886; GO:0009414; GO:0009506; GO:0015250; GO:0016021
A6YIH8	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
P29060	GO:0000272; GO:0004568; GO:0005576; GO:0005618; GO:0006032
