Entry	Gene ontology IDs
P51427	GO:0003729; GO:0003735; GO:0005618; GO:0005773; GO:0005886; GO:0006412; GO:0009506; GO:0009507; GO:0015935; GO:0022626
P12049	GO:0004642; GO:0005524; GO:0005737; GO:0006189
P46302	GO:0003735; GO:0005840; GO:0006412
P46297	GO:0003735; GO:0006412; GO:0015935
Q8L799	GO:0005506; GO:0005737; GO:0019310; GO:0019853; GO:0050113
Q5ZLH4	GO:0005769; GO:0005770; GO:0005776; GO:0005802; GO:0008021; GO:0016021; GO:0030054; GO:0048489; GO:0055037
Q9LZW4	GO:0004674; GO:0005524; GO:0005634; GO:0005773; GO:0009506; GO:0018105; GO:0018107; GO:0035556
Q9FKQ1	GO:0015238; GO:0015297; GO:0016021
Q9FZ62	GO:0004427; GO:0046872; GO:0051262; GO:0052731; GO:0052732
P55844	GO:0003735; GO:0005840; GO:0006412
Q9XI29	GO:0005886
Q87DH6	
Q9LVJ0	GO:0009507; GO:0009611; GO:0010193; GO:0010224
Q07121	GO:0005507; GO:0008131; GO:0009308; GO:0048038; GO:0052593; GO:0052594; GO:0052595; GO:0052596
P19712	GO:0003723; GO:0003968; GO:0004197; GO:0004252; GO:0005216; GO:0005524; GO:0008026; GO:0016021; GO:0019062; GO:0019082; GO:0030430; GO:0032688; GO:0033897; GO:0039501; GO:0039520; GO:0039548; GO:0039551; GO:0039654; GO:0039694; GO:0039707; GO:0042025; GO:0044165; GO:0044228; GO:0044385; GO:0051259; GO:0055036; GO:0070008; GO:1901800; GO:1903608; GO:1990214; GO:1990219
P38047	GO:0004872; GO:0005506; GO:0006811; GO:0009279; GO:0015891; GO:0016021; GO:0055072
P23525	GO:0009706; GO:0010189; GO:0016021; GO:0102550
Q8TGI1	GO:0004674; GO:0005524; GO:0006914; GO:0015031; GO:0034045
Q10EJ2	GO:0005886; GO:0016021
Q8LC83	GO:0000462; GO:0003735; GO:0005618; GO:0006412; GO:0016020; GO:0022626; GO:0022627; GO:0042255; GO:0042256; GO:0042788
Q6UNT2	GO:0003735; GO:0005840; GO:0006412; GO:0008097
Q9SYG7	GO:0004029; GO:0005829; GO:0006081; GO:0009269; GO:0009651; GO:0009737
